site,species,sex,stage
Lake Temiscoutata,Skistodiaptomus pallidus,unclear,unclear
Meduxnekeag Lake,Skistodiaptomus mississippiensis,female,nauplii
Moosehead Lake,Cyclopoid,male,copepodite
Unity Pond,Skistodiaptomus pygmaeus,,adult
Chute River,Skistodiaptomus reighardii,,
Lake Champlain,Skistodiaptomus oregonensis,,
Saco Lake,,,
Sacandaga Lake,,,
Pelham Lake,,,
Lake Whalom,,,
Cranberry Bog,,,
Goodyear Lake,,,
Pontoosuc Lake,,,
Benedict Pond,,,
Lake Erie,,,
Birch Run Pond,,,
Monponsett Pond,,,
Edinboro Lake,,,
Lake MacBride,,,
Center Springs Pond,,,
Pymatuning Reservoir,,,
Canterbury Pond,,,
Hillside Park,,,
Wilcox Pond,,,
Mormon Island,,,
Grand Lake ,,,
Pinchot Lake,,,
Fraser,,,
Ochsner Pond,,,
EaglewatchLake,,,
Courthouse Park,,,
Gilly's Park,,,
Lake Wilson,,,
Owen Park,,,